index,time_seconds,latitude,longitude,rel_alt,abs_alt
114,3.77,32.103683,35.205189,117.5,802.541
115,3.803,32.103693,35.205191,117.5,802.541
116,3.836,32.103693,35.205191,117.5,802.541
117,3.87,32.103693,35.205191,117.5,802.541
118,3.903,32.103701,35.205192,117.5,802.541
119,3.936,32.103701,35.205192,117.5,802.541
120,3.9699999999999998,32.103701,35.205192,117.5,802.541
121,4.003,32.10371,35.205193,117.5,802.541
122,4.036,32.10371,35.205193,117.5,802.541
123,4.07,32.10371,35.205193,117.5,802.541
124,4.103,32.103719,35.205195,117.5,802.541
125,4.1370000000000005,32.103719,35.205195,117.5,802.541
126,4.17,32.103719,35.205195,117.5,802.541
127,4.203,32.103728,35.205196,117.5,802.541
128,4.237,32.103728,35.205196,117.5,802.541
129,4.27,32.103728,35.205196,117.5,802.541
130,4.303,32.103737,35.205197,117.5,802.541
131,4.337,32.103737,35.205197,117.5,802.541
132,4.37,32.103737,35.205197,117.5,802.541
133,4.4030000000000005,32.103746,35.205199,117.5,802.541
134,4.437,32.103746,35.205199,117.5,802.541
135,4.47,32.103746,35.205199,117.5,802.541
136,4.504,32.103755,35.2052,117.5,802.541
137,4.537,32.103755,35.2052,117.5,802.541
138,4.57,32.103755,35.2052,117.5,802.541
139,4.604,32.103764,35.205201,117.5,802.541
140,4.6370000000000005,32.103764,35.205201,117.5,802.541
141,4.67,32.103764,35.205201,117.5,802.541
142,4.704,32.103772,35.205202,117.5,802.541
143,4.737,32.103772,35.205202,117.5,802.541
144,4.77,32.103772,35.205202,117.5,802.541
145,4.804,32.103782,35.205204,117.5,802.541
146,4.837,32.103782,35.205204,117.5,802.541
147,4.871,32.103782,35.205204,117.5,802.541
148,4.904,32.10379,35.205205,117.5,802.541
149,4.937,32.10379,35.205205,117.5,802.541
150,4.971,32.10379,35.205205,117.5,802.541
151,5.004,32.1038,35.205206,117.5,802.541
152,5.037,32.1038,35.205206,117.5,802.541
153,5.071,32.1038,35.205206,117.5,802.541
154,5.104,32.103808,35.205208,117.5,802.541
155,5.1370000000000005,32.103808,35.205208,117.5,802.541
156,5.171,32.103808,35.205208,117.5,802.541
157,5.204,32.103818,35.205209,117.5,802.541
158,5.2379999999999995,32.103818,35.205209,117.5,802.541
159,5.271,32.103818,35.205209,117.5,802.541
160,5.304,32.103826,35.20521,117.5,802.541
161,5.338,32.103826,35.20521,117.5,802.541
162,5.371,32.103826,35.20521,117.5,802.541
163,5.404,32.103835,35.205211,117.5,802.541
164,5.438,32.103835,35.205211,117.5,802.541
165,5.471,32.103835,35.205211,117.5,802.541
166,5.504,32.103844,35.205213,117.5,802.541
167,5.538,32.103844,35.205213,117.5,802.541
168,5.571,32.103844,35.205213,117.5,802.541
169,5.605,32.103853,35.205214,117.5,802.541
170,5.638,32.103853,35.205214,117.5,802.541
171,5.671,32.103853,35.205214,117.5,802.541
172,5.705,32.103862,35.205216,117.5,802.541
173,5.7379999999999995,32.103862,35.205216,117.5,802.541
174,5.771,32.103862,35.205216,117.5,802.541
175,5.805,32.103871,35.205217,117.5,802.541
176,5.838,32.103871,35.205217,117.5,802.541
177,5.871,32.103871,35.205217,117.5,802.541
178,5.905,32.10388,35.205218,117.5,802.541
179,5.938,32.10388,35.205218,117.5,802.541
180,5.9719999999999995,32.10388,35.205218,117.5,802.541
181,6.005,32.103889,35.20522,117.5,802.541
182,6.038,32.103889,35.20522,117.5,802.541
183,6.072,32.103889,35.20522,117.5,802.541
184,6.105,32.103898,35.205221,117.5,802.541
185,6.138,32.103898,35.205221,117.5,802.541
186,6.172,32.103898,35.205221,117.5,802.541
187,6.205,32.103907,35.205222,117.5,802.541
188,6.2379999999999995,32.103907,35.205222,117.5,802.541
189,6.272,32.103907,35.205222,117.5,802.541
190,6.305,32.103916,35.205224,117.5,802.541
191,6.339,32.103916,35.205224,117.5,802.541
192,6.372,32.103916,35.205224,117.5,802.541
193,6.405,32.103925,35.205225,117.5,802.541
194,6.439,32.103925,35.205225,117.5,802.541
195,6.4719999999999995,32.103925,35.205225,117.5,802.541
196,6.505,32.103933,35.205226,117.5,802.541
197,6.539,32.103933,35.205226,117.5,802.541
198,6.572,32.103933,35.205226,117.5,802.541
199,6.605,32.103942,35.205228,117.5,802.541
200,6.639,32.103942,35.205228,117.5,802.541
201,6.672,32.103942,35.205228,117.5,802.541
202,6.7059999999999995,32.103951,35.205229,117.5,802.541
203,6.739,32.103951,35.205229,117.5,802.541
204,6.772,32.103951,35.205229,117.5,802.541
205,6.806,32.10396,35.20523,117.5,802.541
206,6.839,32.10396,35.20523,117.5,802.541
207,6.872,32.10396,35.20523,117.5,802.541
208,6.906,32.103969,35.205232,117.5,802.541
209,6.939,32.103969,35.205232,117.5,802.541
210,6.9719999999999995,32.103969,35.205232,117.5,802.541
211,7.006,32.103978,35.205233,117.5,802.541
212,7.039,32.103978,35.205233,117.5,802.541
213,7.073,32.103978,35.205233,117.5,802.541
214,7.106,32.103987,35.205234,117.5,802.541
215,7.139,32.103987,35.205234,117.5,802.541
216,7.173,32.103987,35.205234,117.5,802.541
217,7.206,32.103996,35.205236,117.5,802.541
218,7.239,32.103996,35.205236,117.5,802.541
219,7.273,32.103996,35.205236,117.5,802.541
220,7.306,32.104005,35.205237,117.5,802.541
221,7.339,32.104005,35.205237,117.5,802.541
222,7.373,32.104005,35.205237,117.5,802.541
223,7.406,32.104014,35.205238,117.5,802.541
224,7.44,32.104014,35.205238,117.5,802.541
225,7.473,32.104014,35.205238,117.5,802.541
226,7.506,32.104022,35.20524,117.5,802.541
227,7.54,32.104022,35.20524,117.5,802.541
228,7.573,32.104022,35.20524,117.5,802.541
229,7.606,32.104032,35.205241,117.5,802.541
230,7.64,32.104032,35.205241,117.5,802.541
231,7.673,32.104032,35.205241,117.5,802.541
232,7.7059999999999995,32.10404,35.205242,117.5,802.541
233,7.74,32.10404,35.205242,117.5,802.541
234,7.773,32.10404,35.205242,117.5,802.541
235,7.807,32.104049,35.205244,117.4,802.441
236,7.84,32.104049,35.205244,117.4,802.441
237,7.873,32.104049,35.205244,117.4,802.441
238,7.907,32.104058,35.205245,117.4,802.441
239,7.9399999999999995,32.104058,35.205245,117.4,802.441
240,7.973,32.104058,35.205245,117.4,802.441
241,8.007,32.104067,35.205246,117.4,802.441
242,8.04,32.104067,35.205246,117.4,802.441
243,8.073,32.104067,35.205246,117.4,802.441
244,8.107,32.104076,35.205248,117.4,802.441
245,8.14,32.104076,35.205248,117.4,802.441
246,8.174,32.104076,35.205248,117.4,802.441
247,8.207,32.104085,35.205249,117.4,802.441
248,8.24,32.104085,35.205249,117.4,802.441
249,8.274000000000001,32.104085,35.205249,117.4,802.441
250,8.307,32.104094,35.20525,117.4,802.441
251,8.34,32.104094,35.20525,117.4,802.441
252,8.374,32.104094,35.20525,117.4,802.441
253,8.407,32.104103,35.205251,117.4,802.441
254,8.44,32.104103,35.205251,117.4,802.441
255,8.474,32.104103,35.205251,117.4,802.441
256,8.507,32.104111,35.205253,117.4,802.441
257,8.54,32.104111,35.205253,117.4,802.441
258,8.574,32.104111,35.205253,117.4,802.441
259,8.607,32.104121,35.205254,117.4,802.441
260,8.641,32.104121,35.205254,117.4,802.441
261,8.674,32.104121,35.205254,117.4,802.441
262,8.707,32.104129,35.205255,117.4,802.441
263,8.741,32.104129,35.205255,117.4,802.441
264,8.774000000000001,32.104129,35.205255,117.4,802.441
265,8.807,32.104138,35.205257,117.4,802.441
266,8.841,32.104138,35.205257,117.4,802.441
267,8.874,32.104138,35.205257,117.4,802.441
268,8.907,32.104147,35.205258,117.4,802.441
269,8.941,32.104147,35.205258,117.4,802.441
270,8.974,32.104147,35.205258,117.4,802.441
271,9.008,32.104156,35.205259,117.4,802.441
272,9.041,32.104156,35.205259,117.4,802.441
273,9.074,32.104156,35.205259,117.4,802.441
274,9.108,32.104165,35.205261,117.4,802.441
275,9.141,32.104165,35.205261,117.4,802.441
276,9.174,32.104165,35.205261,117.4,802.441
277,9.208,32.104174,35.205262,117.4,802.441
278,9.241,32.104174,35.205262,117.4,802.441
279,9.274000000000001,32.104174,35.205262,117.4,802.441
280,9.308,32.104183,35.205263,117.4,802.441
281,9.341,32.104183,35.205263,117.4,802.441
282,9.375,32.104183,35.205263,117.4,802.441
283,9.408,32.104192,35.205264,117.4,802.441
284,9.441,32.104192,35.205264,117.4,802.441
285,9.475,32.104192,35.205264,117.4,802.441
286,9.508,32.1042,35.205266,117.5,802.541
287,9.541,32.1042,35.205266,117.5,802.541
288,9.575,32.1042,35.205266,117.5,802.541
289,9.608,32.104209,35.205268,117.5,802.541
290,9.641,32.104209,35.205268,117.5,802.541
291,9.675,32.104209,35.205268,117.5,802.541
292,9.708,32.104217,35.20527,117.5,802.541
293,9.742,32.104217,35.20527,117.5,802.541
294,9.775,32.104217,35.20527,117.5,802.541
295,9.808,32.104226,35.205272,117.5,802.541
296,9.842,32.104226,35.205272,117.5,802.541
297,9.875,32.104226,35.205272,117.5,802.541
298,9.908,32.104234,35.205275,117.5,802.541
299,9.942,32.104234,35.205275,117.5,802.541
300,9.975,32.104234,35.205275,117.5,802.541
301,10.008,32.104243,35.205277,117.5,802.541
302,10.042,32.104243,35.205277,117.5,802.541
303,10.075,32.104251,35.20528,117.5,802.541
304,10.109,32.104251,35.20528,117.5,802.541
305,10.142,32.104251,35.20528,117.5,802.541
306,10.175,32.104251,35.20528,117.5,802.541
307,10.209,32.104259,35.205283,117.5,802.541
308,10.242,32.104259,35.205283,117.5,802.541
309,10.275,32.104259,35.205283,117.5,802.541
310,10.309,32.104267,35.205286,117.5,802.541
311,10.342,32.104267,35.205286,117.5,802.541
312,10.375,32.104267,35.205286,117.5,802.541
313,10.409,32.104276,35.20529,117.5,802.541
314,10.442,32.104276,35.20529,117.5,802.541
315,10.475999999999999,32.104276,35.20529,117.5,802.541
316,10.509,32.104284,35.205293,117.5,802.541
317,10.542,32.104284,35.205293,117.5,802.541
318,10.576,32.104284,35.205293,117.5,802.541
319,10.609,32.104292,35.205296,117.5,802.541
320,10.642,32.104292,35.205296,117.5,802.541
321,10.676,32.104292,35.205296,117.5,802.541
322,10.709,32.1043,35.2053,117.5,802.541
323,10.742,32.1043,35.2053,117.5,802.541
324,10.776,32.1043,35.2053,117.5,802.541
325,10.809,32.104309,35.205303,117.5,802.541
326,10.843,32.104309,35.205303,117.5,802.541
327,10.876,32.104309,35.205303,117.5,802.541
328,10.909,32.104317,35.205307,117.5,802.541
329,10.943,32.104317,35.205307,117.5,802.541
330,10.975999999999999,32.104325,35.20531,117.5,802.541
331,11.009,32.104325,35.20531,117.5,802.541
332,11.043,32.104325,35.20531,117.5,802.541
333,11.076,32.104325,35.20531,117.5,802.541
334,11.109,32.104333,35.205314,117.5,802.541
335,11.143,32.104333,35.205314,117.5,802.541
336,11.176,32.104333,35.205314,117.5,802.541
337,11.21,32.104342,35.205317,117.5,802.541
338,11.243,32.104342,35.205317,117.5,802.541
339,11.276,32.104342,35.205317,117.5,802.541
340,11.31,32.10435,35.20532,117.5,802.541
341,11.343,32.10435,35.20532,117.5,802.541
342,11.376,32.104358,35.205324,117.5,802.541
343,11.41,32.104358,35.205324,117.5,802.541
344,11.443,32.104358,35.205324,117.5,802.541
345,11.475999999999999,32.104358,35.205324,117.5,802.541
346,11.51,32.104366,35.205327,117.5,802.541
347,11.543,32.104366,35.205327,117.5,802.541
348,11.577,32.104375,35.205331,117.5,802.541
349,11.61,32.104375,35.205331,117.5,802.541
350,11.643,32.104375,35.205331,117.5,802.541
351,11.677,32.104375,35.205331,117.5,802.541
352,11.71,32.104383,35.205334,117.5,802.541
353,11.743,32.104383,35.205334,117.5,802.541
